time	Tran1.TRAN.VRL
1.00046000000000301E-6	-3.69640931391287575E-1
1.00047000000000308E-6	-4.34684218579618431E-1
1.00048000000000314E-6	-4.98022290470171036E-1
1.00049000000000299E-6	-5.59411648453537769E-1
1.00050000000000305E-6	-6.18616133848692407E-1
1.00051000000000312E-6	-6.75407696944843217E-1
1.00052000000000318E-6	-7.29567151439130868E-1
1.00053000000000347E-6	-7.80884917808641177E-1
1.00054000000000354E-6	-8.29161757624442863E-1
1.00055000000000360E-6	-8.74209498848380129E-1
1.00056000000000367E-6	-9.15851749991070818E-1
1.00057000000000351E-6	-9.53924598928008649E-1
1.00058000000000380E-6	-9.88277290433867783E-1
1.00059000000000387E-6	-1.01877287530802230E0
1.00060000000000393E-6	-1.04528882343642926E0
1.00061000000000400E-6	-1.06771759326313398E0
1.00062000000000406E-6	-1.08596715081902429E0
1.00063000000000413E-6	-1.09996143248817457E0
1.00064000000000397E-6	-1.10964074686074698E0
1.00065000000000404E-6	-1.11496211211763319E0
1.00066000000000410E-6	-1.11589952626395306E0
1.00067000000000417E-6	-1.11244416810724300E0
1.00068000000000401E-6	-1.10460452718106694E0
1.00069000000000452E-6	-1.09240646093796223E0
1.00070000000000459E-6	-1.07589317761013015E0
1.00071000000000443E-6	-1.05512514329707185E0
1.00072000000000427E-6	-1.03017991218687532E0
1.00073000000000456E-6	-1.00115187939292705E0
1.00074000000000485E-6	-9.68151956663462165E-1
1.00075000000000491E-6	-9.31307172112606452E-1
1.00076000000000476E-6	-8.90760196009739857E-1
1.00077000000000504E-6	-8.46668795428816168E-1
1.00078000000000511E-6	-7.99205221109980002E-1
1.00079000000000495E-6	-7.48555530183830342E-1
1.00080000000000502E-6	-6.94918848475620621E-1
1.00081000000000508E-6	-6.38506576016897753E-1
1.00082000000000493E-6	-5.79541539251463345E-1
1.00083000000000544E-6	-5.18257093339776453E-1
1.00084000000000528E-6	-4.54896178024095299E-1
1.00085000000000535E-6	-3.89710330752082079E-1
1.00086000000000541E-6	-3.22958661150943849E-1
1.00087000000000526E-6	-2.54906791430978341E-1
1.00088000000000577E-6	-1.85825767781255013E-1
1.00089000000000561E-6	-1.15990948202945954E-1
1.00090000000000590E-6	-4.56808724326706628E-2
1.00091000000000596E-6	2.48238803935535479E-2
1.00092000000000581E-6	9.52418408790926563E-2
1.00093000000000609E-6	1.65291800178368353E-1
1.00094000000000594E-6	2.34693957726648872E-1
1.00095000000000600E-6	3.03171061469731473E-1
1.00096000000000607E-6	3.70449536406999957E-1
1.00097000000000635E-6	4.36260597358173996E-1
1.00098000000000642E-6	5.00341341837449516E-1
1.00099000000000626E-6	5.62435818815292166E-1
1.00100000000000611E-6	6.22296069034489285E-1
1.00101000000000662E-6	6.79683132490154840E-1
1.00102000000000668E-6	7.34368018732183359E-1
1.00103000000000675E-6	7.86132635821995773E-1
1.00104000000000659E-6	8.34770674058662898E-1
1.00105000000000688E-6	8.80088440940673067E-1
1.00106000000000672E-6	9.21905644192331764E-1
1.00107000000000679E-6	9.60056120003373792E-1
1.00108000000000685E-6	9.94388503868419704E-1
1.00109000000000692E-6	1.02476684155674325E0
1.00110000000000721E-6	1.05107113780765249E0
1.00111000000000705E-6	1.07319784037044008E0
1.00112000000000689E-6	1.09106025704004694E0
1.00113000000000718E-6	1.10458890342878724E0
1.00114000000000725E-6	1.11373177939568846E0
1.00115000000000731E-6	1.11845457234196832E0
1.00116000000000760E-6	1.11874078596390225E0
1.00117000000000744E-6	1.11459179350326609E0
1.00118000000000773E-6	1.10602681500980626E0
1.00119000000000757E-6	1.09308281858868450E0
1.00120000000000764E-6	1.07581434601749804E0
1.00121000000000770E-6	1.05429326346831664E0
1.00122000000000799E-6	1.02860843836595572E0
1.00123000000000784E-6	9.98865343676816586E-1
1.00124000000000768E-6	9.65185591185448288E-1
1.00125000000000797E-6	9.27706395611298085E-1
1.00126000000000803E-6	8.86579971770592046E-1
1.00127000000000810E-6	8.41972867407848824E-1
1.00128000000000794E-6	7.94065234801488362E-1
1.00129000000000823E-6	7.43050044767289108E-1
1.00130000000000852E-6	6.89132247212580040E-1
1.00131000000000836E-6	6.32527882902873007E-1
1.00132000000000843E-6	5.73463151567214258E-1
1.00133000000000871E-6	5.12173441875752467E-1
1.00134000000000856E-6	4.48902329171019421E-1
1.00135000000000862E-6	3.83900547129137326E-1
1.00136000000000869E-6	3.17424939775921100E-1
1.00137000000000853E-6	2.49737400486735917E-1
1.00138000000000904E-6	1.81103804746353392E-1
1.00139000000000888E-6	1.11792943508011633E-1
1.00140000000000917E-6	4.20754639259138674E-2
1.00141000000000902E-6	-2.77771760112002708E-2
1.00142000000000908E-6	-9.74937329004645825E-2
1.00143000000000892E-6	-1.66804178116034652E-1
1.00144000000000921E-6	-2.35440668546640985E-1
1.00145000000000928E-6	-3.03138484992878698E-1
1.00146000000000934E-6	-3.69636936890659928E-1
1.00147000000000919E-6	-4.34680233685388551E-1
1.00148000000000947E-6	-4.98018324792872491E-1
1.00149000000000954E-6	-5.59407711469428559E-1
1.00150000000000960E-6	-6.18612234893268997E-1
1.00151000000000967E-6	-6.75403845175870732E-1
1.00152000000000951E-6	-7.29563355775410205E-1
1.00153000000000958E-6	-7.80881186855660570E-1
1.00154000000000987E-6	-8.29158099599662535E-1
1.00155000000000993E-6	-8.74205921517569884E-1
1.00156000000001000E-6	-9.15848260623786459E-1
1.00157000000001029E-6	-9.53921204275991741E-1
1.00158000000001035E-6	-9.88273996731648730E-1
1.00159000000001019E-6	-1.01876968829093206E0
1.00160000000001026E-6	-1.04528574836800559E0
1.00161000000001033E-6	-1.06771463496208407E0
1.00162000000001017E-6	-1.08596431367593649E0
1.00163000000001023E-6	-1.09995872046444676E0
1.00164000000001052E-6	-1.10963816346655264E0
1.00165000000001059E-6	-1.11495966037141225E0
1.00166000000001043E-6	-1.11589720864150999E0
1.00167000000001072E-6	-1.11244198649235604E0
1.00168000000001056E-6	-1.10460248283018858E0
1.00169000000001085E-6	-1.09240455446857876E0
1.00170000000001092E-6	-1.07589140901630698E0
1.00171000000001098E-6	-1.05512351198834620E0
1.00172000000001127E-6	-1.03017841704031543E0
1.00173000000001133E-6	-1.00115051880490014E0
1.00174000000001118E-6	-9.68150728588571852E-1
1.00175000000001124E-6	-9.31306074082097979E-1
1.00176000000001131E-6	-8.90759225128789645E-1
1.00177000000001115E-6	-8.46667948359160505E-1
1.00178000000001122E-6	-7.99204494049020120E-1
1.00179000000001150E-6	-7.48554918852234330E-1
1.00180000000001135E-6	-6.94918348122488450E-1
1.00181000000001164E-6	-6.38506181445981902E-1
1.00182000000001170E-6	-5.79541244865750560E-1
1.00183000000001177E-6	-5.18256893196996060E-1
1.00184000000001183E-6	-4.54896065893762724E-1
1.00185000000001168E-6	-3.89710300165790846E-1
1.00186000000001196E-6	-3.22958705441004135E-1
1.00187000000001181E-6	-2.54906903756740988E-1
1.00188000000001209E-6	-1.85825941146092188E-1
1.00189000000001216E-6	-1.15991175466892615E-1
1.00190000000001223E-6	-4.56811463259152539E-2
1.00191000000001229E-6	2.48235672523896378E-2
1.00192000000001213E-6	9.52414959578507947E-2
1.00193000000001220E-6	1.65291430999198208E-1
1.00194000000001227E-6	2.34693571827868652E-1
1.00195000000001255E-6	3.03170666363493924E-1
1.00196000000001262E-6	3.70449139534932925E-1
1.00197000000001291E-6	4.36260206047420951E-1
1.00198000000001253E-6	5.00340963259721860E-1
1.00199000000001304E-6	5.62435459951476702E-1
1.00200000000001266E-6	6.22295736646759412E-1
1.00201000000001295E-6	6.79682833102223505E-1
1.00202000000001301E-6	7.34367758616492772E-1
1.00203000000001330E-6	7.86132420990731084E-1
1.00204000000001314E-6	8.34770510254244513E-1
1.00205000000001321E-6	8.80088333621419316E-1
1.00206000000001305E-6	9.21905598510541502E-1
1.00207000000001312E-6	9.60056140775777855E-1
1.00208000000001318E-6	9.94388595541961529E-1
1.00209000000001303E-6	1.02476700817490141E0
1.00210000000001354E-6	1.05107138298311309E0
1.00211000000001360E-6	1.07319816726858019E0
1.00212000000001344E-6	1.09106066837479831E0
1.00213000000001351E-6	1.10458940146899098E0
1.00214000000001380E-6	1.11373236597728043E0
1.00215000000001386E-6	1.11845524888020398E0
1.00216000000001393E-6	1.11874155346073101E0
1.00217000000001377E-6	1.11459265254750006E0
1.00218000000001384E-6	1.10602776577092299E0
1.00219000000001413E-6	1.09308386080779663E0
1.00220000000001397E-6	1.07581547900026941E0
1.00221000000001426E-6	1.05429448608408771E0
1.00222000000001410E-6	1.02860974905539826E0
1.00223000000001439E-6	9.98866740467915193E-1
1.00224000000001423E-6	9.65187071715461364E-1
1.00225000000001430E-6	9.27707957151344509E-1
1.00226000000001458E-6	8.86581611249788892E-1
1.00227000000001443E-6	8.41974581435205138E-1
1.00228000000001449E-6	7.94067019685359909E-1
1.00229000000001478E-6	7.43051896533409639E-1
1.00230000000001485E-6	6.89134161622150021E-1
1.00231000000001491E-6	6.32529855471836822E-1
1.00232000000001475E-6	5.73465177587103980E-1
1.00233000000001482E-6	5.12175516435783962E-1
1.00234000000001511E-6	4.48904447180870569E-1
1.00235000000001495E-6	3.83902703342107543E-1
1.00236000000001502E-6	3.17427128812715154E-1
1.00237000000001508E-6	2.49739616860531433E-1
1.00238000000001537E-6	1.81106042889761154E-1
1.00239000000001544E-6	1.11795197801911206E-1
1.00240000000001528E-6	4.20777287291856261E-2
1.00241000000001534E-6	-2.77749063328725176E-2
1.00242000000001563E-6	-9.74914639488192414E-2
1.00243000000001548E-6	-1.66801915439036308E-1
1.00244000000001554E-6	-2.35438417622164442E-1
1.00245000000001583E-6	-3.03136251216077168E-1
1.00246000000001589E-6	-3.69634725562679245E-1
1.00247000000001574E-6	-4.34678050000798954E-1
1.00248000000001580E-6	-4.98016173823910435E-1
1.00249000000001565E-6	-5.59405598146626470E-1
1.00250000000001616E-6	-6.18610163983722217E-1
1.00251000000001622E-6	-6.75401821261586655E-1
1.00252000000001606E-6	-7.29561383234428895E-1
1.00253000000001613E-6	-7.80879269847839375E-1
1.00254000000001642E-6	-8.29156242057509729E-1
1.00255000000001626E-6	-8.74204127140889220E-1
1.00256000000001655E-6	-9.15846532875823272E-1
1.00257000000001639E-6	-9.53919546378604366E-1
1.00258000000001668E-6	-9.88272411657837324E-1
1.00259000000001652E-6	-1.01876817875441450E0
1.00260000000001659E-6	-1.04528431681092515E0
1.00261000000001688E-6	-1.06771328354275874E0
1.00262000000001672E-6	-1.08596304425860835E0
1.00263000000001679E-6	-1.09995753461226720E0
1.00264000000001685E-6	-1.10963706243796634E0
1.00265000000001714E-6	-1.11495864511914577E0
1.00266000000001720E-6	-1.11589627981292949E0
1.00267000000001705E-6	-1.11244114443013498E0
1.00268000000001711E-6	-1.10460172757289343E0
1.00269000000001740E-6	-1.09240388575152458E0
1.00270000000001747E-6	-1.07589082627349431E0
1.00271000000001753E-6	-1.05512301435627975E0
1.00272000000001738E-6	-1.03017800336400622E0
1.00273000000001744E-6	-1.00115018764570229E0
1.00274000000001751E-6	-9.68150478233007661E-1
1.00275000000001757E-6	-9.31305902550765197E-1
1.00276000000001764E-6	-8.90759130184870429E-1
1.00277000000001770E-6	-8.46667927516767094E-1
1.00278000000001821E-6	-7.99204544582252208E-1
1.00279000000001761E-6	-7.48555037806097445E-1
1.00280000000001812E-6	-6.94918532326520211E-1
1.00281000000001796E-6	-6.38506427530701615E-1
1.00282000000001803E-6	-5.79541549281156598E-1
1.00283000000001810E-6	-5.18257252231698473E-1
1.00284000000001838E-6	-4.54896475693244362E-1
1.00285000000001845E-6	-3.89710756748801046E-1
1.00286000000001851E-6	-3.22959204714007075E-1
1.00287000000001836E-6	-2.54907441527285883E-1
1.00288000000001842E-6	-1.85826513136545435E-1
1.00289000000001849E-6	-1.15991777329939838E-1
1.00290000000001855E-6	-4.56817736626092863E-2
1.00291000000001862E-6	2.48229188722180627E-2
1.00292000000001846E-6	9.52408309738899739E-2
1.00293000000001920E-6	1.65290753839186921E-1
1.00294000000001882E-6	2.34692886887741325E-1
1.00295000000001888E-6	3.03169977989851391E-1
1.00296000000001895E-6	3.70448452009661411E-1
1.00297000000001901E-6	4.36259523573549934E-1
1.00298000000001930E-6	5.00340289947324557E-1
1.00299000000001914E-6	5.62434799802674945E-1
1.00300000000001921E-6	6.22295093539541355E-1
1.00301000000001950E-6	6.79682210773531548E-1
1.00302000000001934E-6	7.34367160645551298E-1
1.00303000000001941E-6	7.86131850783664277E-1
1.00304000000001947E-6	8.34769971030680580E-1
1.00305000000001932E-6	8.80087828403174832E-1
1.00306000000001960E-6	9.21905130111918503E-1
1.00307000000001967E-6	9.60055711794741740E-1
1.00308000000001973E-6	9.94388208351592695E-1
1.00309000000001980E-6	1.02476666491495250E0
1.00310000000001986E-6	1.05107108555203377E0
1.00311000000001993E-6	1.07319791731671765E0
1.00312000000002000E-6	1.09106046729949102E0
1.00313000000002006E-6	1.10458925041192968E0
1.00314000000002035E-6	1.11373226582398699E0
1.00315000000002041E-6	1.11845520026100620E0
1.00316000000002026E-6	1.11874155675244036E0
1.00317000000002032E-6	1.11459270787518516E0
1.00318000000002039E-6	1.10602787300964267E0
1.00319000000002045E-6	1.09308401958472778E0
1.00320000000002052E-6	1.07581568869800925E0
1.00321000000002036E-6	1.05429474584592886E0
1.00322000000002065E-6	1.02861005779299552E0
1.00323000000002072E-6	9.98867096871183691E-1
1.00324000000002056E-6	9.65187474263995426E-1
1.00325000000002107E-6	9.27708404126361330E-1
1.00326000000002113E-6	8.86582100745733648E-1
1.00327000000002098E-6	8.41975111370616780E-1
1.00328000000002104E-6	7.94067587813198905E-1
1.00329000000002111E-6	7.43052500451545406E-1
1.00330000000002117E-6	6.89134798784852176E-1
1.00331000000002124E-6	6.32530523202885941E-1
1.00332000000002131E-6	5.73465873094619294E-1
1.00333000000002137E-6	5.12176236828288189E-1
1.00334000000002121E-6	4.48905189483734901E-1
1.00335000000002150E-6	3.83903464513470905E-1
1.00336000000002157E-6	3.17427905758289386E-1
1.00337000000002163E-6	2.49740406447208541E-1
1.00338000000002170E-6	1.81106841958418796E-1
1.00339000000002176E-6	1.11796003180053960E-1
1.00340000000002161E-6	4.20785372439741856E-2
1.00341000000002190E-6	-2.77740978410158235E-2
1.00342000000002196E-6	-9.74906586122987129E-2
1.00343000000002203E-6	-1.66801116349481848E-1
1.00344000000002209E-6	-2.35437627817835260E-1
1.00345000000002216E-6	-3.03135473670743583E-1
1.00346000000002222E-6	-3.69633963176046088E-1
1.00347000000002229E-6	-4.34677305590116081E-1
1.00348000000002213E-6	-4.98015450116180425E-1
1.00349000000002242E-6	-5.59404897770858422E-1
1.00350000000002249E-6	-6.18609489462962969E-1
1.00351000000002255E-6	-6.75401175004849286E-1
1.00352000000002239E-6	-7.29560767528942122E-1
1.00353000000002268E-6	-7.80878686852127046E-1
1.00354000000002297E-6	-8.29155693795631166E-1
1.00355000000002281E-6	-8.74203615497828501E-1
1.00356000000002288E-6	-9.15846059593648221E-1
1.00357000000002294E-6	-9.53919113052829282E-1
1.00358000000002301E-6	-9.88272019733475560E-1
1.00359000000002307E-6	-1.01876782952151768E0
1.00360000000002270E-6	-1.04528401139979854E0
1.00361000000002321E-6	-1.06771302291939296E0
1.00362000000002305E-6	-1.08596282922098197E0
1.00363000000002334E-6	-1.09995736578803061E0
1.00364000000002340E-6	-1.10963694028365767E0
1.00365000000002347E-6	-1.11495856992069453E0
1.00366000000002353E-6	-1.11589625168691531E0
1.00367000000002338E-6	-1.11244116332523846E0
1.00368000000002344E-6	-1.10460179327117691E0
1.00369000000002373E-6	-1.09240399786954989E0
1.00370000000002380E-6	-1.07589098426363017E0
1.00371000000002386E-6	-1.05512321750873728E0
1.00372000000002393E-6	-1.03017825081008474E0
1.00373000000002377E-6	-1.00115047836245408E0
1.00374000000002406E-6	-9.68150811049175886E-1
1.00375000000002390E-6	-9.31306276153561363E-1
1.00376000000002419E-6	-8.90759543127056830E-1
1.00377000000002403E-6	-8.46668378223631279E-1
1.00378000000002432E-6	-7.99205031358357587E-1
1.00379000000002438E-6	-7.48555558841990898E-1
1.00380000000002423E-6	-6.94919085705785555E-1
1.00381000000002452E-6	-6.38507011237737387E-1
1.00382000000002458E-6	-5.79542161209869633E-1
1.00383000000002465E-6	-5.18257890195020199E-1
1.00384000000002449E-6	-4.54897137433119170E-1
1.00385000000002478E-6	-3.89711439946204230E-1
1.00386000000002484E-6	-3.22959906998634194E-1
1.00387000000002469E-6	-2.54908160486796698E-1
1.00388000000002497E-6	-1.85827246325514950E-1
1.00389000000002504E-6	-1.15992522278851640E-1
1.00390000000002488E-6	-4.56825278872371232E-2
1.00391000000002517E-6	2.48221578608561932E-2
1.00392000000002501E-6	9.52400656590795869E-2
1.00393000000002530E-6	1.65289986687878576E-1
1.00394000000002537E-6	2.34692120340144905E-1
1.00395000000002543E-6	3.03169214449613911E-1
1.00396000000002572E-6	3.70447693834766589E-1
1.00397000000002556E-6	4.36258773067820282E-1
1.00398000000002563E-6	5.00339549352216295E-1
1.00399000000002547E-6	5.62434071289025006E-1
1.00400000000000000E-6	6.22294379049226087E-1


